title_id	title	year	runtime	genre
tt10027474	Night of the Dead Geisha	2018	48	Comedy,Horror
tt10027848	The Road To Hippie	2019	90	Comedy
tt10028030	Nagarsevak - Ek Nayak	2017	120	Action
tt10028240	Kyodai	2017	77	Horror
tt10028708	Stay	2018	87	Drama,Romance
tt10031940	Jack Lives Alone	2019	45	Drama,Thriller
tt10033760	Pahil Paul Jivanch	2017	122	Drama
tt10033822	Premay Namaha	2017	144	Romance
tt10033852	Rangeela Raybaa	2017	143	Romance
tt10033904	Spandan What is Relationship	2017	142	Romance
tt10033908	Lucky One	2019	76	Drama
tt10034136	Tatva	2017	106	Drama
tt10034168	Ubuntu	2017	114	Drama
tt10034236	Super Sketch	2018	119	Thriller
tt10034272	Mukherjee Dar Bou	2019	127	Drama,Family
tt10034400	New Breed	2018	\N	Action
tt10035012	Curses	2019	\N	Horror
tt10035120	A Short History of a Few Bad Things	2018	87	Drama
tt10035404	Zvyozdy svetyat vsem	2014	\N	Drama,Romance
tt10035478	Piola	2019	102	Drama
tt10036406	Mbretëria	2017	82	Drama
tt10036992	Death of a Traveling Life Insurance Salesman	2019	71	Drama
tt10037312	Bring Me the Head of Jade Brooks	2019	100	Action
tt10037428	Los atardeceres rojos	2019	87	Drama
tt10037562	The 45	2016	\N	Drama,Thriller
tt10037700	Pretty Cure Miracle Universe	2019	70	Adventure,Animation,Family
tt10037834	Mle Kyu	2019	120	Comedy,Drama
tt10037836	Killer's Whisper	2019	\N	Drama,Horror,Thriller
tt10038002	Wakya	2017	\N	\N
tt10038028	The Struggle	2019	96	Action
tt10038066	Biscuit	2017	124	\N
tt10038080	Delta Byrd Sings	2019	\N	Drama
tt10038086	Bumper Lottery	2017	118	\N
tt10038708	Flatmates	2019	\N	Drama
tt10038738	Shao nv tian shi	2017	63	Comedy,Romance
tt10038826	Mohyla	2019	74	Adventure,Family,Sci-Fi
tt10039008	Prathighatana	2014	117	Drama
tt10039014	Old Is Gold	2019	136	Comedy,Drama
tt10039022	Hum tum	2014	\N	Romance
tt10039064	Muttayikkallanum Mammaliyum	2019	122	Drama
tt10039152	Tokyo Necronomicon	2019	\N	Horror
tt10039344	Countdown	2019	90	Horror,Thriller
tt10039468	My Stupid Boss 2	2019	96	Adventure,Comedy
tt10039472	Premak Basaat	2018	\N	Romance
